personId,movieId,characters
1813,172385,Jewel (voice)
41087,172385,Linda (voice)
134,172385,Nico (voice)
1271,172385,Eduardo (voice)
969218,172385,Roberto (voice)
55936,172385,Nigel (voice)
17289,172385,Tulio (voice)
60255,172385,Fernando (voice)
561869,172385,Bia (voice)
13299,172385,Aunt Mimi (voice)
52775,172385,Gabi (voice)
56903,172385,Luiz (voice)
82092,172385,Pedro (voice)
41798,172385,Rafael (voice)
6968,127585,Logan:Wolverine
5530,127585,Professor Charles Xavier (Past)
2387,127585,Professor Charles Xavier (Future)
17288,127585,Erik Lehnsherr:Magneto (Past)
1327,127585,Erik Lehnsherr:Magneto (Future)
72129,127585,Raven:Mystique
3292,127585,Hank McCoy:Beast
27578,127585,Kitty Pryde:Shadowcat
11023,127585,Iceman
22970,127585,Bolivar Trask
4587,127585,Ororo Munroe:Storm
121868,127585,James Proudstar:Warpath
64439,127585,Clarice Ferguson:Blink
1010189,127585,Roberto da Costa:Sunspot
78423,127585,Lucas Bishop
55089,127585,Pietro Maximoff:Quicksilver
429,127585,Alex Summers:Havok
10696,127585,Jean Grey
11006,127585,Scott Summers:Cyclops
10690,127585,Rogue
7013,127585,President Richard Nixon
7090,127585,Hank McCoy:Beast (Older)
1269,192102,Ethan Runner
55085,192102,Vivi Delay
130640,192102,Zoey Renner
935,192102,Christine Renner
16828,100402,Steve Rogers:Captain America
1245,100402,Natasha Romanoff:Black Widow
2231,100402,Nick Fury
60898,100402,James Buchanan 'Bucky' Barnes:The Winter Soldier
53650,100402,Sam Wilson:Falcon
81685,100402,Brock Rumlow:Crossbones
71189,100402,Maria Hill
13014,100402,Arnim Zola
84247,100402,Sharon Carter
39459,100402,Peggy Carter
74750,100402,Batroc the Leaper
4135,100402,Alexander Pierce
52760,100402,World Security Council member
7624,100402,Security Guard
14464,100402,Councilwoman Hawley
52865,100402,Senator Stern
205179,100402,Com Tech #1
101015,100402,Councilman Yen
156739,100402,Councilman Singh
60846,100402,Scientist #1
21007,187017,Schmidt
38673,187017,Jenko
54697,187017,Eric Molson
9778,187017,Captain Dickson
17039,187017,Deputy Chief Hardy
53,187017,Big Meat
71403,187017,Mr. Walters
986808,187017,Benji
87295,187017,Dennis Booker
1187106,187017,Maya
1910,187017,Annie Schmidt
141956,187017,Dr. Murphy
1772,187017,Anna (30 Jump Street: Flight Academy)
19278,187017,Culinary School Villain
10872,187017,MC State Professor
19274,187017,Morton Schmidt
15758,187017,Mrs. Dickinson
61632,187017,Vietnamese Jesus
880,210577,Nick Dunne
10882,210577,Amy Dunne
80602,210577,Tanner Bolt
41686,210577,Desi Collins
1294,210577,Ellen Abbott
11663,210577,Detective Jim Gulpin
21165,210577,Detective Rhonda Boney
83872,210577,Noelle Hawthorne
1186505,210577,Andie Hardy
467645,210577,Jeff
887,209244,Steve Dallas
58225,209244,Ben Baker
56322,209244,Terri Baker
51975,209244,Angelina
591834,209244,Delia Shepard
25376,209244,Red Coulter
1218281,209244,Victoria Riolobos
128013,209244,Kyle Robertson
56930,209244,Karl Stevens
36189,209244,Dave Harken
51856,209244,Alli
1221716,209244,Marie
44176,209244,Zed Starkovitch
209125,209244,Justin
52995,209244,Dr. Vincent
39012,209244,le Juge Harlan Plath
1231,157851,Havana
76070,157851,Agatha
3036,157851,Sanford
11616,157851,
11288,157851,Jerome
190895,157851,Clarice
51042,157851,Sam
1232769,157851,Victoria
29460,157851,Azita Wachtel
4,157851,Herself
55638,184098,Cedric
71530,184098,Zeke
8177,184098,Dominic
98953,184098,Jeremy
35705,184098,Candace
22122,184098,Mya
40036,184098,Lauren
17773,184098,Kristen
63234,184098,Tish
1034453,184098,Sonia
11702,184098,Isaac
83231,184098,Terrell
15899,184098,Loretta
62,241254,Omar
12261,241254,Paul
3036,241254,Sam
84698,241254,Angela
137424,241254,Beth
112013,241254,Mark
62644,241254,The Pharmacy
1280,241254,Riley
66579,241254,Susan
51965,249660,Professor Radisson
226371,249660,Josh Wheaton
116431,249660,Reverend Dave
21721,249660,Mark
1357480,249660,Kara
38664,53182,Themistocles
10912,53182,Artemisia
17286,53182,Queen Gorgo
208296,53182,Scylias
1371,53182,Dillios
17289,53182,Xerxes
85065,53182,Calisto
17290,53182,Ephialtes
17291,53182,Daxos
37168,53182,Aesyklos
21200,137106,Batman:Bruce Wayne (voice)
9281,137106,Wyldstyle:Lucy (voice)
88029,137106,Unikitty (voice)
6,137106,C-3PO (voice)
95101,137106,Benny (voice)
143346,137106,Han Solo (voice)
23659,137106,Lord Business (voice):President Business (voice):The Man Upstairs
62831,137106,Abraham Lincoln (voice) (as Orville Forte)
54697,137106,Wally (voice)
192,137106,Vitruvius (voice)
21007,137106,Green Lantern (voice)
543505,137106,Barry (voice) (as Jake Johnson)
298410,137106,Foreman Jim (voice)
3896,137106,Bad Cop:Good Cop:Pa Cop (voice)
35806,137106,Shaq (voice)
17039,137106,Metal Beard (voice)
73457,137106,Emmet Brickowski (voice)
71189,137106,Wonder Woman (voice)
62863,137106,Shakespeare:Additional Voices (voice)
38673,137106,Superman (voice)
3799,137106,Lando (voice)
55536,226486,Tammy
4038,226486,Pearl
8534,226486,Lenore
19,226486,Deb
707,226486,Don
21163,226486,Earl
25540,226486,Susan
45407,226486,Bobby
3051,226486,Missi
76038,272692,
46814,272692,
1222219,272692,
941,272692,
17051,262338,Tom Reed
11661,262338,Anna Reed
58016,262338,Sarah
78423,262338,
207,262338,
11288,157845,Reynolds
529,157845,Eric
75131,157845,Town Soldier
75711,157845,Sgt. Rickofferson
94185,157350,Beatrice Prior:Tris
996701,157350,Peter
587020,157350,"Tobias ""Four"" Eaton"
204,157350,Jeanine Matthews
56614,157350,Marcus Eaton
21045,157350,Tori
37153,157350,Christina
15852,157350,Natalie Prior
3417,157350,Andrew Prior
327,157350,Max
56195,157350,Al
1329572,157350,Dauntless
13240,91314,Cade Yeager
2283,91314,Joshua
61186,91314,Tessa Yeager
109432,91314,Su Yueming
15831,91314,Galvatron (voice)
15860,91314,Scourge (voice)
27993,91314,Powerglide (voice)
6576,91314,Thrust (voice)
3971,91314,Darcy
39389,91314,Savoy
19540,91314,Optimus Prime (voice)
1230,91314,Hound (voice)
3899,91314,Drift (voice)
7090,91314,Harold Attinger
937809,91314,Convertible Passenger
37625,102382,Spider-Man:Peter Parker
54693,102382,Gwen Stacy
134,102382,Electro:Max Dillon
122889,102382,Green Goblin:Harry Osborn
10132,102382,Donald Menken
72855,102382,Felicia
13242,102382,Aleksei Sytsevich
35,102382,Aunt May
6368,102382,Mary Parker
55152,102382,Richard Parker
20982,102382,Dr. Ashley Kafka
558928,102382,Young Peter Parker
190895,102382,Kari
7624,102382,Graduation Guest
2955,102382,Norman Osborn
171886,102382,Agent Berkley
5724,102382,Captain Stacy
8349,102382,Uncle Ben
231547,102382,Flash Thompson
81685,238636,Leo
37158,238636,Eva Sanchez
70303,238636,Shane
31168,238636,Liz
95517,238636,Tanya
38571,238636,Papa Rico
3979,238636,Barney
39390,238636,Carmelo Johns
56679,238636,The Stranger
61852,238636,Carlos
87437,238636,TV Newscaster #2
51610,238636,Old Elegant Woman
61852,238636,Carlos
448,264656,Mary Bee Cuddy
2176,264656,George Briggs
504787,264656,Arabella Sours
5064,264656,Altha Carter
502,264656,Theoline Belknapp
1462,264656,The Freighter
130640,264656,Tabitha Hutchinson
1245,240832,Lucy
192,240832,Professor Norman
124644,240832,Caroline
2960,240832,Pierre Del Rio
64880,240832,Mr. Jang
7031,240832,The Limey
90060,240832,Richard
3896,169917,Matt Scudder
221018,169917,Kenny Kristo
35029,169917,Ray
23789,169917,Yuri Landau
112143,169917,Reuben
56677,169917,AA Woman - Denise
110902,169917,Loogan
76464,169917,Anita
206900,169917,Eduardo Solomon
114019,49017,Dracula (Vlad Tepes)
55470,49017,Mehmed
190895,49017,Mirena
4391,49017,Master Vampire
84865,49017,Cazan
2050,49017,Captain Petru
85,157353,Will
6162,157353,Max
15556,157353,Evelyn
51072,157353,Bree
192,157353,Joseph
2037,157353,Agent Buchanan
6614,157353,Colonel Stevens
5365,157353,Martin
74302,157353,Joel Edmund
40039,157353,Paul
3982,157353,Dr. Thomas Casey
526,157353,James Thomas
17421,157353,Dr. Strauss
93491,198663,Gally
527393,198663,Thomas
25663,198663,Newt
115150,198663,Teresa
1276,198663,Ava Paige
78062,198663,Alby
969045,198663,Ben
79025,198663,Masked Man
9562,184345,Malcolm
56824,184345,Megan
154000,184345,Kisha
86498,184345,Miguel
1294,184345,Noreen
208225,184345,Becky
1539,184345,Professor Wilde
35701,184345,Agouhl
5726,184345,Father Doug
17835,145220,Dominic
15232,145220,Jean Pierre Napoleon
56323,145220,Nadya
64180,145220,Kermit:Beaker:Statler:Rizzo:Newsman:Foo-Foo (voice)
97185,145220,Miss Piggy:Fozzie Bear:Animal:Sam Eagle (voice)
64181,145220,Gonzo:Dr. Bunsen Honeydew:Zoot:Beauregard:Waldorf (voice)
135467,145220,Sgt. Floyd Pepper:Camilla:Sweetums:Lew Zealand:Crazy Harry (voice)
91606,145220,Great Escapo
3136,145220,
11477,145220,
192632,145220,Scooter:Janice (voice)
11160,145220,
2283,145220,
55936,145220,Prison King
19537,98566,April O'Neil
21200,98566,Vernon Fenwick
886,98566,Eric Sacks
64295,98566,Raphael
80352,98566,Michelangelo
9656,98566,Leonardo (voice)
15034,98566,Donatello
13645,98566,Master Splinter
4252,98566,Splinter (voice)
2395,98566,Bernadette Thompson
177525,98566,Karai
1240486,98566,Taylor
118756,98566,Councilman
51300,98566,Dojo Ninja
1100,144336,John 'Breacher' Wharton
65731,144336,James 'Monster' Murray
175826,144336,Lizzy Murray
20580,144336,Joe 'Grinder' Phillips
6195,144336,Jackson
142636,144336,Eddie 'Neck' Jordan
18288,144336,Julius 'Sugar' Edmonds
11616,144336,Investigator Caroline Brentwood
94864,144336,Tom 'Pyro' Roberts
1333,119450,Caesar
76512,119450,Malcolm
20286,119450,Koba
41292,119450,Ellie
20750,119450,Cornelia
64,119450,Dreyfus
113505,119450,Alexander
55861,119450,Carver
40462,109445,Anna (voice)
19394,109445,Elsa (voice)
54415,109445,Olaf (voice)
21088,109445,Duke (voice)
8785,109445,Pabbie:Grandpa (voice)
70238,109445,Oaken (voice)
16842,109445,Kai (voice) (as Stephen John Anderson)
3202,109445,Gerda (voice)
74573,109445,Bishop (voice)
34521,109445,King (voice)
36821,109445,Additional Voices (voice)
111466,109445,Additional Voices (voice)
113916,109445,Additional Voices (voice)
76461,109445,Additional Voices (voice)
449,10191,Hiccup
17276,10191,Stoick
24264,10191,Gobber
59174,10191,Astrid
21007,10191,Snotlout
54691,10191,Fishlegs
51990,10191,Tuffnut
41091,10191,Ruffnut
55398,10191,Phlegma the Fierce
20049,10191,Spitelout
11155,256092,Peter Roberts
3036,256092,Simon Keller
7060,57158,Bilbo Baggins
1327,57158,Gandalf
30315,57158,Thorin Oakenshield
25136,57158,Balin
34715,57158,Bofur
152566,57158,Fili
207558,57158,Kili
71580,57158,Smaug:The Necromancer
72095,57158,Thranduil
114019,57158,Bard the Bowman
19034,57158,Tauriel
114,57158,Legolas
9188,57158,Dain Ironfoot
52398,57158,Beorn
41782,57158,Azog
11275,57158,The Master of Laketown
80112,57158,Radagast
112,57158,Galadriel
58769,57158,Laketown Spy
103,198277,Dan
116,198277,Gretta
217371,198277,Dave
130640,198277,Violet
2229,198277,Miriam
55466,198277,Steve
4239,198277,Saul
458843,198277,Trouble Gum
133451,198277,Jenny
121757,198277,Phillis
15232,82703,Mr. Peabody
558928,82703,Sherman
42160,82703,Penny Peterson
19,82703,Mrs. Grunion
475512,82703,Paula Peterson
58769,82703,Paul Peterson
537,82703,Principal Purdy
111923,82703,Mason
20804,82703,French Peasant
2283,82703,Leonardo Da Vinci
41087,82703,Patty Pearson
25703,82703,Mona
92404,97020,RoboCop
64,97020,Norton
2232,97020,Raymond Sellars
37260,97020,Ellen Murphy
17183,97020,Maddox
39390,97020,Jack Lewis
49971,97020,Liz Kline
449,97020,Pope
17352,97020,Karen Dean
2231,97020,Pat Novak
56457,97020,Kim
100586,42194,Jin Kazama
61829,42194,Christie Monteiro
11398,42194,Heihachi Mishima
123813,42194,Kazuya
10843,42194,Steve Fox
123812,42194,Eddy Gordo
83352,42194,Kara
3134,42194,Jun Kazama
116637,42194,Marschall Law
127585,42194,Nina Williams
31134,42194,Raven
16284,42194,Hwoarang
68559,42194,Bryan Fury
37625,1930,Spider-Man:Peter Parker
54693,1930,Gwen Stacy
7026,1930,The Lizard:Dr. Curt Connors
5724,1930,Captain Stacy
8349,1930,Uncle Ben
35,1930,Aunt May
76793,1930,Rajit Ratha
55152,1930,Richard Parker
6368,1930,Mary Parker
231547,1930,Flash Thompson
558928,1930,Peter Parker (Age 4)
2878,1930,Jack's Father
7624,1930,School Librarian
59261,1930,Missy Kallenback
205976,1930,Hot Girl
157146,1930,Miss Ritter
1111328,1930,Cash Register Thief
1232365,1930,Gordon
15318,1930,Car Thief
27319,157834,Qohen Leth
11207,157834,Joby
59373,157834,Bainsley
1892,157834,Management
17064,157834,Doctor 3
3063,157834,Dr. Shrink-Rom
145997,157834,Doctor 1
36669,157834,TV Presenter
53,157834,Doctor 2
65717,198185,J. B. Bernstein
2053,198185,Tom House
25703,198185,Brenda Paauwe
933160,198185,Rinku
20644,198185,Ash Vasudevan
1903,198185,Ray Arkin
154917,198185,Pete
21629,198185,Chang
6941,193610,Carly Whitten
41087,193610,Kate King
974317,193610,Amber
25129,193610,Frank
12795,193610,Mark King
210271,193610,Phil
968660,193610,Lydia
116881,193610,
74568,76338,Thor
524,76338,Jane Foster
91606,76338,Loki
4173,76338,Odin
2040,76338,Malekith
59817,76338,Sif
69899,76338,Fandral
56614,76338,Volstagg
13275,76338,Hogun
17605,76338,Heimdall
14343,76338,Frigga
1640,76338,Dr. Erik Selvig
31164,76338,Algrim:Kurse
52852,76338,Darcy Lewis
2506,76338,Eir
19901,76338,Tyr
7624,76338,Himself
40477,76338,Richard
2220,76338,Bor
66441,76338,Nurse
3901,76338,Einherjar Lieutenant
16828,76338,Captain America
82639,76338,Collector's Assistant
1121,76338,Taneleer Tivan:The Collector
6193,106646,Jordan Belfort
21007,106646,Donnie Azoff
234352,106646,Naomi Lapaglia
3497,106646,Agent Patrick Denham
3026,106646,Max Belfort
10297,106646,Mark Hanna
19498,106646,Brad
41561,106646,Chester Ming
15277,106646,Manny Riskin
204392,106646,Teresa Petrillo
34901,106646,Aunt Emma
134235,106646,Steve Madden
824,106646,Toby Welch
56024,106646,Jean-Jacques Handali
3223,24428,Tony Stark:Iron Man
16828,24428,Steve Rogers:Captain America
103,24428,Bruce Banner:The Hulk
74568,24428,Thor
1245,24428,Natasha Romanoff:Black Widow
17604,24428,Clint Barton:Hawkeye
91606,24428,Loki
9048,24428,Agent Phil Coulson
71189,24428,Agent Maria Hill
1640,24428,Selvig
2231,24428,Nick Fury
12052,24428,Pepper Potts
6162,24428,Jarvis (voice)
14464,24428,World Security Council
101522,24428,Shield Pilot
6280,24428,World Security Council
7624,24428,Old Man in TV Report
34486,24428,Waitress
5048,24428,Security Guard
43553,24428,Georgi Luchkov
1214673,24428,The Other
19151,24428,Senator Boynton
1224022,24428,Young Cop
82809,250546,
1981,250546,
188311,250546,Detective Clarkin
45051,254191,Paul
5469,120467,M. Gustave
1164,120467,Mr. Moustafa
8789,120467,Serge
3490,120467,Dmitri
5293,120467,Jopling
4785,120467,Kovacs
1037,120467,Ludwig
9642,120467,Young Writer
1532,120467,M. Ivan
819,120467,Henckels
36592,120467,Agatha
17881,120467,M. Jean
121529,120467,Clotilde
3063,120467,Madame D.
207,120467,Author
887,120467,M. Chuck
4795,120467,Pinky
12438,120467,M. Martin
26473,120467,M. Robin
19511,120467,Mr. Mosher
38459,120467,Wolf
56604,120467,Ernst
22612,120467,Grande Dame
1191623,120467,Usherette
1327,49051,Gandalf
7060,49051,Bilbo
30315,49051,Thorin
1333,49051,Gollum
112,49051,Galadriel
113,49051,Saruman
80112,49051,Radagast
65,49051,Older Bilbo
109,49051,Frodo
1331,49051,Elrond
72095,49051,Thranduil
105584,49051,Lindir
207558,49051,Kili
34715,49051,Bofur
22,49051,Great Goblin
25136,49051,Balin
534336,49051,Oin
71580,49051,Necromancer
152566,49051,Fili
41782,49051,Azog
8167,82992,Brian O'Conner
12835,82992,Dominic Toretto
18918,82992,Luke Hobbs
22123,82992,Mia
114019,82992,Owen Shaw
17647,82992,Letty
8169,82992,Roman Pearce
90633,82992,Gisele Harabo
61697,82992,Han Lue
8171,82992,Tej Parker
20258,82992,Firuz
73269,82992,Elena
592496,82992,Jah
74242,82992,Stasiak
40543,82992,Braga
78452,82992,Riley
16828,1771,Steve Rogers:Captain America
1331,1771,Johann Schmidt:The Red Skull
2176,1771,Col. Chester Phillips
39459,1771,Peggy Carter
60898,1771,James 'Bucky' Barnes
2231,1771,Nick Fury
55470,1771,Howard Stark
2283,1771,Abraham Erskine
58502,1771,Private Lorraine
74289,1771,SHIELD Agent
30315,1771,Heinz Kruger
13014,1771,Dr. Arnim Zola
2203,1771,Timothy 'Dum Dum' Dugan
15543,1771,Gabe Jones
41561,1771,Jim Morita
30710,1771,James Montgomery Falsworth
7624,1771,General
8167,254473,Damien
62439,254473,Lino
150,254473,Tremaine
112692,254473,Yeti
54793,254473,George the Greek
7039,254473,Mayor
2963,242310,Paul Maguire
50347,242310,Vanessa
53,242310,
2047,242310,Detective St. John
157015,242310,Danny Doherty
72129,101299,Katniss Everdeen
27972,101299,Peeta Mellark
237455,101299,Finnick Odair
9281,101299,Effie Trinket
64295,101299,Gloss
20089,101299,Johanna Mason
2283,101299,Caeser Flickerman
57755,101299,Haymitch Abernathy
1233,101299,Plutarch Heavensbee
55636,101299,President Snow
99,101299,Wiress
77069,101299,Cinna
8792,101299,Mags
13014,101299,Claudius Templesmith
1086222,101299,Brutus
96066,101299,Gale Hawthorne
1269,200505,Sonny Weaver Jr.
9278,200505,Ali
11824,200505,Brian Drew
16431,200505,
53256,200505,Earl Jennings
9560,200505,Barb Weaver
2165,200505,Angie
8924,200505,Harvey Molina
8687,200505,Walt Gordon
5724,200505,Vince Penn
20379,200505,Max Stone
51930,200505,O'Reilly
6951,200505,Ralph Mowry
14721,200505,Marvin
10138,200505,NFL Commissioner
225377,200505,Rick the Intern
12835,87421,Riddick
1372,87421,Lord Vaako
51798,87421,Dahl
31384,87421,Santana
71913,87421,Moss
172915,87421,Nunez
543530,87421,Diaz
16828,110415,Curtis
20738,110415,Namgong Minsu
478,110415,Edgar
5049,110415,Gilliam
3063,110415,Mason
17486,110415,schoolteacher
6944,110415,Tanya
1125,110415,Andrew
220232,110415,Grey
228,110415,Wilford
21689,110415,Yona
39959,110415,Franco Elder
34947,242643,Batman:Bruce Wayne
2203,242643,Floyd Lawton:Deadshot
5661,242643,Riddler
113919,242643,Harley Quinn
963818,242643,The Joker
294916,242643,King Shark
4031,242643,Captain Boomerang
4808,242643,Black Spider
81667,242643,Killer Frost
126363,242643,Alfred Pennyworth
19508,242643,Penguin:Oswald Cobblepot
30485,242643,Amanda Waller
2227,215211,Grace Kelly
16501,215211,Rupert Allan
3627,215211,Maria Callas
3129,215211,Prince Rainier III
7489,215211,Madge Tivey-Faucon
8924,215211,Father Francis Tucker
937,215211,Count Fernando D'Aillieres
10988,215211,Princess Antoinette
20243,215211,Alfred Hitchcock
71450,215211,Aristotle Onassis
49278,215211,Emile Pelletier
77191,215211,Countess Baciocchi
16483,107846,Ray Breslin
1100,107846,Emil Rottmayer
8767,107846,Willard Hobbes
980,107846,Drake
62644,107846,Hush
7132,107846,Lester Clark
4783,107846,Dr. Kyrie
147056,107846,Jessica Miller
39388,107846,Abigail Ross
57452,107846,Javed
25541,37821,Jen Kornfeldt
18976,37821,Spencer Aimes
15112,37821,Mr. Kornfeldt
11514,37821,
24357,37821,Mrs. Baily
26723,37821,Vivian
71403,37821,Henry
60633,37821,Mac Bailey
80742,37821,
118590,37821,Pete Denham
4494,37821,Olivia
63232,37821,Jackie Vallero
83872,37821,Kristen
93528,37821,Amanda
118592,37821,Flavie - Head flight attendant
118594,37821,Model
118595,37821,Dougie Vollero
7209,37821,Model
31837,151960,Dusty Crophopper (voice)
59784,151960,El Chupacabra (voice)
