movieId,title,avgVote,releaseYear,genres
245775,Yves Saint Laurent,6.300000,2014,Drama
70670,Headhunters,7.300000,2011,Crime:Thriller
14367,Adventures in Babysitting,7.100000,1987,Comedy:Family
11481,Repulsion,8.000000,1965,Drama:Horror:Thriller
75780,Jack Reacher,6.000000,2012,Crime:Drama:Thriller
1844,Entrapment,5.900000,1999,Action:Crime:Thriller:Romance
1600,The Double Life of Veronique,7.800000,1991,Drama:Thriller:Indie:Foreign
921,Cinderella Man,6.900000,2005,Drama:History:Sport:Romance
195300,"The Chef, The Actor, The Scoundrel",7.000000,2013,Action:Comedy
284427,Who Am I - No System is Safe,8.100000,2014,Thriller
11,Star Wars: Episode IV - A New Hope,7.600000,1977,Action:Adventure:Science Fiction
8536,Superman II,6.100000,1981,Action:Adventure:Fantasy:Science Fiction:Family
18823,Clash of the Titans,5.700000,2010,Action:Adventure:Fantasy
17332,The Soloist,5.800000,2009,Drama:Musical
10576,Psycho II,6.500000,1983,Horror:Suspense:Thriller
57627,A Little Thing Called Love,7.700000,2010,Comedy:Romance
9957,The Benchwarmers,5.600000,2006,Comedy:Sport
203739,Vampire Academy,5.700000,2014,Action:Comedy:Fantasy:Horror:Mystery
78,Blade Runner,7.600000,1982,Drama:Science Fiction:Thriller
12279,Spy Kids 3-D: Game Over,4.900000,2003,Action:Adventure:Comedy:Science Fiction:Family
9599,The Blob,7.200000,1988,Horror:Science Fiction
1891,Star Wars: Episode V - The Empire Strikes Back,7.700000,1980,Action:Adventure:Science Fiction
10474,The Basketball Diaries,7.100000,1995,Crime:Drama:Sport
10877,Exit Wounds,6.200000,2001,Action:Comedy:Crime:Thriller
9367,El Mariachi,6.900000,1992,Action:Crime:Thriller
5951,The Jane Austen Book Club,5.600000,2007,Comedy:Drama:Romance
82,Miami Vice,5.800000,2006,Action:Adventure:Crime:Thriller
15789,A Goofy Movie,6.800000,1995,Adventure:Animation:Comedy:Musical:Romance:Family
82702,How to Train Your Dragon 2,8.200000,2014,Action:Adventure:Animation:Comedy:Fantasy:Family
61202,Zindagi Na Milegi Dobara,8.400000,2011,Comedy:Drama:Romance
392,Chocolat,6.300000,2000,Comedy:Drama:Romance
2309,Inkheart,6.100000,2008,Adventure:Fantasy:Family
49009,The Way Back,6.700000,2010,Adventure:Drama:History
82687,The Guilt Trip,5.500000,2012,Comedy
853,Enemy at the Gates,7.000000,2001,War
10489,Cujo,5.900000,1983,Horror:Thriller
123109,No One Lives,5.600000,2012,Horror:Thriller
14919,Batman: Mask of the Phantasm,7.700000,1993,Action:Adventure:Animation:Family
857,Saving Private Ryan,7.300000,1998,Drama:History:War
10762,Without a Paddle,5.900000,2004,Action:Adventure:Comedy:Thriller
49530,In Time,6.500000,2011,Action:Science Fiction:Thriller
142,Brokeback Mountain,6.600000,2005,Drama:Romance
10069,Stay Alive,4.700000,2006,Horror:Thriller
20943,The Ugly Truth,6.300000,2009,Comedy:Romance
70057,Dragon,7.600000,2011,Action:Drama:Thriller
2124,Color of Night,5.600000,1994,Drama:Mystery:Suspense:Romance
207768,I Spit On Your Grave 2,6.700000,2013,Crime:Horror:Thriller
6637,National Treasure: Book of Secrets,5.800000,2007,Action:Adventure:Mystery:Thriller
2018,The Wedding Planner,5.600000,2001,Comedy:Drama:Romance
54551,Despicable Me: Banana,7.600000,2010,Animation:Comedy:Family:Short
11932,Bride of Chucky,5.900000,1998,Comedy:Horror
7191,Cloverfield,6.100000,2008,Action:Horror:Science Fiction:Thriller
13964,The Machine Girl,7.000000,2008,Action:Adventure:Comedy:Crime:Horror:Thriller
9543,Prince of Persia: The Sands of Time,6.200000,2010,Action:Adventure:Fantasy:Romance
228150,Fury,8.900000,2014,Action:Drama:War
699,For Your Eyes Only,5.900000,1981,Action:Adventure:Thriller
698,Moonraker,5.700000,1979,Action:Adventure:Science Fiction:Thriller
16804,Departures,7.100000,2008,Drama:Musical
8909,Wanted,6.000000,2008,Action:Crime:Thriller
140818,Ragnarok,5.800000,2013,Action:Adventure
34584,The NeverEnding Story,6.800000,1984,Fantasy
11260,Meet Dave,5.400000,2008,Adventure:Comedy:Science Fiction:Romance:Family
13649,High School Musical 2,5.400000,2007,Comedy:Drama:Music:Family
16859,Kiki's Delivery Service,7.300000,1989,Animation
33701,French Fried Vacation 2,7.900000,1979,Comedy
9355,Mad Max Beyond Thunderdome,5.800000,1985,Action:Adventure:Drama:Science Fiction
9529,Candyman,6.600000,1992,Drama:Horror:Thriller
10196,The Last Airbender,5.000000,2010,Action:Adventure:Fantasy:Family
22164,Blood and Bone,7.600000,2009,Action:Drama:Thriller
11975,The Rainmaker,6.100000,1997,Crime:Drama:Thriller
18405,The Last House on the Left,6.100000,2009,Crime:Drama:Horror:Thriller
62008,Good Deeds,6.800000,2012,Comedy:Drama:Romance
76025,Shame,6.900000,2011,Drama
44564,The Dilemma,5.500000,2011,Comedy:Drama
22311,The Inglorious Bastards,5.800000,1978,Action:Comedy:War
43931,My Soul to Take,5.400000,2010,Drama:Horror:Mystery:Thriller
4176,Murder on the Orient Express,7.600000,1974,Drama:Mystery:Thriller
11519,1941,5.500000,1979,Action:Comedy
8355,Ice Age: Dawn of the Dinosaurs,6.300000,2009,Adventure:Animation:Comedy:Family
2118,L.A. Confidential,7.100000,1997,Crime:Drama:Mystery:Thriller
40171,The Taoist Wizard,6.900000,2009,Action:Adventure:Comedy:Fantasy
10070,Feast,6.800000,2005,Action:Comedy:Horror
17336,Fighting,5.700000,2009,Action:Adventure:Crime:Drama:Thriller
39323,Dragon Ball Z: Bardock - The Father of Goku,6.500000,1990,Action:Animation:Eastern
256731,Bad Country,6.000000,2014,Action:Crime:Drama
54186,Confessions,7.800000,2010,Drama:Mystery:Thriller
10030,Good Luck Chuck,5.800000,2007,Comedy:Drama:Fantasy:Romance
11543,Kingpin,6.600000,1996,Comedy:Sports Film
24021,The Twilight Saga: Eclipse,5.600000,2010,Adventure:Drama:Fantasy:Romance
205220,Philomena,7.600000,2013,Drama
10437,The Muppet Christmas Carol,7.400000,1992,Comedy:Fantasy:Holiday:Family
27989,Serious Moonlight,5.700000,2009,Action:Comedy:Romance
10768,Omen III: The Final Conflict,6.500000,1981,Drama:Horror:Thriller
48748,Klown,7.600000,2010,Comedy
578,Jaws,7.000000,1975,Adventure:Horror:Thriller
1958,8 Women,6.700000,2002,Comedy:Crime:Music:Mystery:Thriller
11257,A Room with a View,7.100000,1985,Drama:Romance
1949,Zodiac,6.700000,2007,Crime:Drama:Mystery:Thriller
21036,Panda! Go Panda!,6.600000,1972,Animation:Comedy:Family
9086,Young Guns II,6.600000,1990,Adventure:Western
15449,La Tour Montparnasse Infernale,6.200000,2001,Comedy
77948,The Cold Light of Day,5.100000,2012,Action:Thriller
51876,Limitless,6.700000,2011,Mystery:Science Fiction:Thriller
86834,Noah,5.800000,2014,Adventure:Drama
82693,Silver Linings Playbook,6.700000,2012,Comedy:Drama:Romance
110,Three Colors: Red,8.300000,1994,Drama:Mystery:Romance
10947,High School Musical,5.600000,2006,Comedy:Drama:Music:Family
9665,Glory,7.000000,1989,War
18462,Night of the Comet,7.000000,1984,Action:Comedy:Horror:Science Fiction:Thriller
84204,Grabbers,5.800000,2012,Comedy:Horror:Science Fiction:Thriller
10197,Nine,4.900000,2009,Drama:Music:Romance
15171,Charlotte's Web,6.300000,1973,Animation:Drama:Musical:Family
602,Independence Day,6.400000,1996,Action:Adventure:Science Fiction
171540,Big Bad Wolves,6.300000,2013,Comedy:Crime:Suspense
30874,The New York Ripper,6.500000,1982,Horror
1735,The Mummy: Tomb of the Dragon Emperor,5.200000,2008,Action:Adventure:Fantasy:Thriller
23629,Sucker Punch,5.900000,2011,Action:Fantasy:Thriller
65,8 Mile,6.500000,2002,Drama
919,Blood: The Last Vampire,7.200000,2000,Animation:Comedy:Fantasy:Horror:Science Fiction:Thriller
21634,Prayers for Bobby,7.600000,2009,Drama
765,Evil Dead II,7.500000,1987,Comedy:Fantasy:Horror
231176,Sole a catinelle,6.900000,2013,Comedy
214030,Fading Gigolo,6.100000,2013,Comedy
41446,Scream 4,6.200000,2011,Horror:Mystery
10323,Clash of the Titans,7.200000,1981,Adventure:Fantasy:Family
58235,Little Surfer Girl,7.400000,2011,Drama
201847,Compulsion,5.300000,2013,Drama:Thriller
462,Erin Brockovich,6.600000,2000,Drama
10339,Moby Dick,7.600000,1956,Action:Adventure:Drama
832,M,8.200000,1931,Action:Crime:Drama:Thriller
9264,Poison Ivy,4.700000,1992,Thriller
61984,Space Battleship Yamato,6.700000,2010,Science Fiction
771,Home Alone,6.500000,1990,Comedy:Family
11075,Audition,7.100000,1999,Drama:Horror:Thriller
68727,Trance,6.300000,2013,Crime:Drama:Mystery:Thriller
146233,Prisoners,7.800000,2013,Crime:Drama:Thriller
14684,School Ties,6.900000,1992,Drama:Sports Film
33511,Nowhere Boy,6.800000,2009,Drama:Musical
10652,Hamburger Hill,5.800000,1987,Action:Drama:War
10019,Mannequin,6.300000,1987,Comedy:Fantasy:Science Fiction:Romance
196024,The Keeper of Lost Causes,7.600000,2013,Crime:Mystery:Thriller
14134,Main Hoon Na,6.900000,2004,Drama
525,The Blues Brothers,7.100000,1980,Action:Comedy:Crime:Music
13971,Wild Child,6.500000,2008,Comedy:Drama:Family
10975,Armour of God II: Operation Condor,7.600000,1991,Action:Adventure:Comedy:Crime:Thriller
34182,Confucius,5.600000,2010,Drama:History
10569,Small Time Crooks,6.700000,2000,Action:Comedy:Crime:Indie
73873,Albert Nobbs,6.500000,2011,Drama
82654,Warm Bodies,6.200000,2013,Comedy:Horror:Romance
33273,Cell 211,7.100000,2009,Action:Drama:Thriller
84336,Shadow Dancer,5.800000,2012,Thriller
13824,Superstar,4.600000,1999,Comedy:Family
13939,Death Wish,7.700000,1974,Action:Crime:Drama:Thriller
11566,Dave,6.200000,1993,Comedy
12139,Dennis the Menace,6.000000,1993,Comedy:Family
8869,Eight Legged Freaks,5.700000,2002,Action:Adventure:Comedy:Horror:Science Fiction
193610,The Other Woman,6.200000,2014,Comedy:Romance
73532,Le Havre,6.100000,2011,Comedy:Drama
49527,Man on a Ledge,6.000000,2012,Action:Crime:Thriller
2059,National Treasure,6.300000,2004,Action:Adventure:Mystery:Thriller
72359,Peeples,6.400000,2013,Comedy
37686,Super 8,6.400000,2011,Action:Mystery:Science Fiction:Thriller
77930,Magic Mike,5.500000,2012,Comedy:Drama
5994,The Family Man,6.200000,2000,Comedy:Drama:Fantasy:Romance
121789,At Any Price,5.600000,2012,Drama
20677,Detective Conan: Captured in Her Eyes,7.400000,2000,Animation:Crime:Thriller
2289,Cold Mountain,6.300000,2003,Drama
181330,Kevin Hart: Let Me Explain,7.300000,2013,Comedy:Documentary
9669,Ring 2,4.400000,1999,Horror:Foreign
10068,Nine 1/2 Weeks,6.100000,1986,Drama:Romance
1824,50 First Dates,6.400000,2004,Comedy:Romance
843,In the Mood for Love,7.600000,2000,Drama:Romance
13490,Welcome Home Roscoe Jenkins,6.600000,2008,Comedy:Drama
10585,Child's Play,6.300000,1988,Horror:Thriller
82690,Wreck-It Ralph,6.800000,2012,Adventure:Animation:Comedy
9515,The Matador,5.900000,2005,Action:Comedy:Crime:Drama:Thriller:Indie
10206,Buffy the Vampire Slayer,5.800000,1992,Action:Comedy:Horror
1667,March of the Penguins,6.000000,2005,Documentary:Family
27936,Micmacs,7.300000,2009,Comedy:Crime
10523,W.,5.600000,2008,Drama:History
75656,Now You See Me,7.200000,2013,Crime:Thriller
11022,Narc,5.800000,2002,Action:Crime:Drama:Mystery:Thriller
62156,De Pernas Pro Ar,6.100000,2010,Comedy
900,Bringing Up Baby,7.500000,1938,Comedy:Romance
78049,The Scorpion King 3: Battle for Redemption,5.000000,2012,Adventure
5072,Severance,6.200000,2006,Comedy:Horror:Thriller
10780,Overboard,6.800000,1987,Comedy:Romance
22821,The Boondock Saints II: All Saints Day,5.900000,2009,Action:Crime:Thriller
13958,The King of Kong: A Fistful of Quarters,8.100000,2007,Documentary
39013,Winter's Bone,6.700000,2010,Drama
14846,Little Black Book,5.400000,2004,Comedy:Drama:Romance
8915,Amelia,5.400000,2009,Adventure:Drama:Romance
110146,The Sapphires,6.800000,2012,Comedy:Drama:Musical
4538,The Darjeeling Limited,7.100000,2007,Adventure:Comedy:Drama
8874,My Best Friend's Wedding,6.300000,1997,Comedy:Romance
12429,Ponyo,7.300000,2008,Adventure:Animation:Family
11156,Coco Before Chanel,6.200000,2009,Drama:History
67748,Snowtown,7.000000,2011,Crime:Drama:Horror:Thriller
72387,Safe,6.200000,2012,Action:Crime:Thriller
4953,Be Kind Rewind,6.200000,2008,Comedy:Drama
10336,Spawn,5.200000,1997,Action:Adventure:Fantasy:Horror:Science Fiction:Thriller
258193,Alien Abduction,4.900000,2014,Horror:Science Fiction:Thriller
162145,The Liability,5.200000,2013,Comedy:Crime:Thriller
11621,Porco Rosso,7.400000,1992,Animation
13320,Funny Face,6.700000,1957,Comedy:Romance
9833,The Phantom of the Opera,6.800000,2004,Drama:Musical:Romance
8965,Atlantis: Milo's Return,5.500000,2003,Action:Animation:Fantasy:Science Fiction:Family
9759,Cellular,6.000000,2004,Action:Adventure:Crime:Thriller
188207,The Legend of Hercules,4.800000,2014,Action:Adventure
64689,Killing Them Softly,5.600000,2012,Crime:Thriller
5876,The Mist,6.600000,2007,Horror
33613,The Girl Who Kicked the Hornet's Nest,6.700000,2009,Action:Crime:Mystery:Thriller
10135,Road House,7.000000,1989,Action:Thriller
5548,RoboCop,6.500000,1987,Action:Science Fiction:Thriller
5491,Battlefield Earth,3.100000,2000,Science Fiction:War
11616,Go for It,8.500000,1983,Action:Adventure:Comedy
31417,Eyes Without a Face,8.100000,1960,Crime:Drama:Horror:Mystery:Suspense:Thriller:Film Noir
191121,Raanjhanaa,6.400000,2013,Drama:Romance
2122,The Whole Ten Yards,5.800000,2004,Comedy:Crime:Thriller
222216,Special ID,6.100000,2013,Action:Crime:Drama
55787,Water for Elephants,6.400000,2011,Drama:Romance
9314,1984,6.900000,1984,Drama:Science Fiction:Romance
13997,Black Sheep,7.200000,1996,Comedy
9763,Goal!: The Dream Begins,7.300000,2005,Drama:Sports Film
8699,Anchorman: The Legend of Ron Burgundy,6.600000,2004,Comedy
21407,The Collector,6.500000,2009,Horror:Thriller
12509,Pollock,6.900000,2000,Drama:Romance:Indie
1865,Pirates of the Caribbean: On Stranger Tides,6.300000,2011,Action:Adventure:Fantasy
8052,Hard Eight,7.200000,1996,Drama:Thriller:Indie
9788,Accepted,5.900000,2006,Comedy
281,Strange Days,6.700000,1995,Science Fiction:Suspense:Thriller
242042,Barefoot,8.000000,2014,Comedy:Drama:Romance
4174,Spellbound,6.000000,1945,Drama:Mystery:Suspense:Thriller
27429,Shivers,7.200000,1975,Horror:Science Fiction
14913,Boogeyman 2,4.800000,2007,Horror:Thriller
4478,Indecent Proposal,5.800000,1993,Drama:Romance
10882,Sleeping Beauty,6.400000,1959,Animation:Fantasy:Musical:Romance:Family
15037,Can't Hardly Wait,6.500000,1998,Comedy:Drama:Romance
9279,Jingle All the Way,5.500000,1996,Comedy:Holiday:Family
25676,Robin-B-Hood,6.500000,2006,Action:Comedy:Drama
913,The Thomas Crown Affair,6.500000,1999,Comedy:Crime:Drama:Romance
3116,Midnight Cowboy,7.300000,1969,Drama
11559,Tideland,6.800000,2005,Drama:Fantasy:Science Fiction:Thriller
9064,Hellbound: Hellraiser II,6.200000,1988,Horror:Thriller
10946,Earth,7.600000,2007,Documentary:Family
14113,Zoom,5.700000,2006,Action:Comedy:Science Fiction:Family
6522,Life,7.200000,1999,Comedy:Crime:Drama
2332,Taxi 2,6.500000,2000,Action:Comedy:Crime
2182,Attack of the Killer Tomatoes!,5.000000,1978,Comedy:Horror:Musical:Science Fiction
138697,Don Jon,6.200000,2013,Comedy:Drama
45317,The Fighter,6.700000,2010,Drama:Sport
198062,Coffee Town,6.700000,2013,Comedy
11355,Never Been Kissed,5.600000,1999,Comedy
2928,Michael,5.300000,1996,Comedy:Drama:Fantasy:Science Fiction
9592,Open Water 2: Adrift,5.600000,2006,Drama:Thriller
16392,Redline,5.200000,2007,Action:Drama:Thriller
2044,The Lake House,5.900000,2006,Drama:Fantasy:Romance
9446,Jungle 2 Jungle,5.500000,1997,Comedy:Family
184125,Assault on Wall Street,5.900000,2013,Action:Drama:Thriller
26587,Dread,5.700000,2009,Drama:Horror:Thriller
50698,Grave Encounters,6.400000,2011,Horror:Thriller
179,The Interpreter,6.100000,2005,Action
84178,Black Rock,4.700000,2013,Horror:Thriller
20606,Doghouse,6.900000,2009,Comedy:Horror
745,The Sixth Sense,7.100000,1999,Drama:Fantasy:Thriller
26035,According to Greta,5.400000,2009,Drama:Romance
46198,My Girlfriend's Boyfriend,5.900000,2010,Comedy:Romance
60420,Like Crazy,6.800000,2011,Drama:Romance:Indie
8007,Behind Enemy Lines,5.900000,2001,Action:Drama:Thriller:War
6418,Hotel Chevalier,6.900000,2007,Drama:Music:Short
9711,Species III,5.700000,2004,Action:Horror:Science Fiction
13761,Pocahontas II: Journey to a New World,5.400000,1998,Adventure:Animation:Romance:Family
58423,Puss in Boots,6.200000,2011,Animation
204553,Cold Eyes,7.500000,2013,Action:Crime
426,Vertigo,7.100000,1958,Crime:Drama:Mystery:Thriller:Romance:Film Noir
80384,Breaking Wind,4.500000,2012,Comedy:Horror
37136,The Naked Gun: From the Files of Police Squad!,6.700000,1988,Action:Comedy:Crime
13981,Appleseed Saga: Ex Machina,7.500000,2007,Action:Animation:Science Fiction:Thriller
11361,Halloween 5: The Revenge of Michael Myers,5.900000,1989,Horror:Thriller
44716,In a Better World,7.500000,2010,Drama:Family:Foreign
4552,A Tale of Two Sisters,7.300000,2003,Drama:Horror:Mystery
7978,The Wolfman,5.400000,2010,Drama:Horror:Thriller
2117,Sophie Scholl: The Final Days,7.800000,2005,Drama:History
2043,Along Came a Spider,5.700000,2001,Action:Crime:Mystery:Thriller
2604,Born on the Fourth of July,6.400000,1989,Drama:War
72976,Lincoln,6.500000,2012,Drama:War
49787,The Reef,5.500000,2010,Drama:Horror:Thriller
64328,The Muppets,6.300000,2011,Comedy:Musical:Family
10587,Police Academy 4: Citizens on Patrol,5.100000,1987,Action:Comedy:Crime
13313,Beauty and the Beast: The Enchanted Christmas,6.700000,1997,Animation
2750,24 Hour Party People,7.100000,2002,Comedy:Drama:Musical
1367,Rocky II,6.500000,1979,Drama:Sports Film
52629,El Infierno,7.800000,2010,Comedy:Crime:Drama
11916,Two Mules for Sister Sara,6.500000,1970,Western
621,Grease,6.500000,1978,Musical:Romance
16279,The Great Buck Howard,6.300000,2008,Comedy:Drama
10564,Where The Heart Is,6.100000,2000,Comedy:Drama:Romance
9827,Phantoms,5.700000,1998,Horror:Science Fiction:Thriller
51481,Mean Girls 2,5.500000,2011,Comedy
11780,Rob Roy,7.300000,1995,Action:Adventure:Drama
9550,House of Flying Daggers,6.500000,2004,Action:Adventure:Drama:Romance
22620,Scooby-Doo! The Mystery Begins,6.300000,2009,Animation:Comedy:Fantasy:Mystery
206408,Chinese Puzzle,6.400000,2013,Comedy:Drama:Romance
470,21 Grams,6.800000,2003,Crime:Drama:Thriller
9631,The Negotiator,6.500000,1998,Action:Adventure:Crime:Drama:Mystery:Suspense:Thriller
37735,Easy A,6.300000,2010,Comedy
10025,Just My Luck,5.400000,2006,Comedy:Drama:Fantasy:Romance:Family
36897,Pokémon: Mewtwo Returns,6.100000,2000,Animation:Family
4951,10 Things I Hate About You,6.600000,1999,Comedy:Drama:Romance
238,The Godfather,8.000000,1972,Crime:Drama
41411,The Round Up,7.900000,2010,Drama:History:War
200713,9 Month Stretch,6.700000,2013,Comedy
9410,Great Expectations,6.700000,1998,Comedy:Drama:Romance
45094,Conviction,6.900000,2010,Drama
8130,Desperately Seeking Susan,6.000000,1985,Action:Comedy:Drama:Romance
1992,Planet Terror,6.300000,2007,Action:Horror:Thriller
37347,Fort Apache,6.700000,1948,Western
4627,Krabat,6.500000,2008,Action:Fantasy:Horror
10660,It Could Happen to You,6.800000,1994,Comedy:Drama:Romance
48988,Hall Pass,5.300000,2011,Comedy:Romance
66150,Life in a Day,6.800000,2011,Documentary:Drama
4251,Veer-Zaara,7.800000,2004,Drama:Romance
9954,The Covenant,5.200000,2006,Action:Adventure:Fantasy:Horror:Science Fiction:Thriller
14177,Beauty Shop,4.900000,2005,Comedy:Romance
58492,The Greatest Movie Ever Sold,5.200000,2011,Comedy:Documentary
15584,Dear Zachary: A Letter to a Son About His Father,8.700000,2008,Crime:Documentary
13466,October Sky,7.100000,1999,Drama:Family
109091,The Counselor,5.200000,2013,Crime:Drama:Thriller
11870,Big Fat Liar,5.900000,2002,Comedy:Family
1125,Dreamgirls,5.600000,2006,Drama
500,Reservoir Dogs,7.500000,1992,Crime:Thriller
11950,Cannonball Run II,6.000000,1984,Action:Adventure:Comedy
22804,Saw VI,5.900000,2009,Horror:Mystery
43552,Vanishing on 7th Street,5.200000,2010,Drama:Horror:Mystery:Suspense:Thriller
984,Dirty Harry,7.100000,1971,Action:Crime:Thriller
2275,The General's Daughter,5.800000,1999,Drama:Mystery:Thriller
82679,Fun Size,5.800000,2012,Comedy
4588,"Lust, Caution",6.100000,2007,Action:Drama:Thriller:Romance:Indie
8363,Superbad,6.700000,2007,Comedy
2640,Heathers,7.200000,1989,Comedy:Drama
11231,The Next Karate Kid,4.700000,1994,Action:Adventure:Comedy:Family
11467,America's Sweethearts,5.800000,2001,Comedy:Romance
97,TRON,6.700000,1982,Action:Adventure:Science Fiction
20312,Interstate 60: Episodes of the Road,7.600000,2002,Adventure:Comedy:Drama:Fantasy:Mystery:Science Fiction
6145,Fracture,6.900000,2007,Thriller
9762,Step Up,6.700000,2006,Crime:Drama:Music:Romance
37606,Valmont,7.300000,1989,Drama:Romance:Indie
15659,Foul Play,6.000000,1978,Comedy:Mystery:Thriller
11811,Leprechaun,6.700000,1993,Comedy:Horror:Thriller
146375,On the Other Side of the Tracks,5.700000,2012,Action:Comedy:Crime
3036,Frankenstein,6.100000,1994,Drama:Horror:Science Fiction:Romance
180296,They Came Together,5.400000,2014,Comedy
3595,Ransom,6.000000,1996,Action:Suspense:Thriller
60011,The Bang Bang Club,6.700000,2011,Drama:Romance:Indie
5236,Kiss Kiss Bang Bang,7.200000,2005,Action:Comedy:Crime:Mystery:Thriller
10544,Ned Kelly,6.500000,2003,Action:Adventure:Drama:History
9872,Explorers,6.300000,1985,Adventure:Fantasy:Science Fiction:Family
16119,Cinderella III: A Twist in Time,6.200000,2007,Animation:Fantasy:Musical:Romance:Family
1372,Blood Diamond,6.900000,2006,Action:Drama:Thriller
115276,Pusher,4.900000,2012,Thriller
10157,Police Academy 2: Their First Assignment,5.300000,1985,Action:Comedy:Crime
182,The Good German,5.500000,2006,Crime:Drama:Mystery:Thriller:Romance
11171,Mysterious Skin,7.900000,2004,Drama:Mystery:Indie
37472,Ip Man 2,6.900000,2010,Action:Drama:History:Sport
686,Contact,6.800000,1997,Drama:Mystery:Science Fiction
990,The Hustler,7.600000,1961,Drama:Sport
170657,Journey to the West,6.500000,2013,Action:Adventure:Comedy:Fantasy
1406,City Slickers,6.200000,1991,Action:Adventure:Comedy:Drama:Western
251,Ghost,6.400000,1990,Drama:Fantasy:Mystery:Thriller:Romance
57361,The Yellow Sea,8.300000,2010,Crime:Drama:Thriller
9656,Black Christmas,6.800000,2006,Horror:Thriller:Holiday
14405,Beverly Hills Chihuahua,5.000000,2008,Adventure:Comedy:Family
5172,The Astronaut Farmer,5.600000,2006,Adventure:Comedy:Drama:Science Fiction:Indie
9737,Bad Boys,6.300000,1995,Action:Adventure:Comedy:Crime:Drama:Thriller
12225,Cashback,7.100000,2007,Comedy:Drama:Romance
124905,Godzilla,6.500000,2014,Action
9341,The Core,5.400000,2003,Science Fiction
10741,Bobby,5.700000,2006,Drama
209451,Jersey Boys,7.100000,2014,Drama:Music
14968,Welcome to Dongmakgol,7.800000,2005,Comedy:Drama:History
19971,The Little Girl Who Lives Down the Lane,7.800000,1976,Drama:Horror:Suspense:Thriller
1621,Trading Places,6.800000,1983,Comedy:Drama
4107,Bloody Sunday,7.900000,2002,Action:Adventure:Drama:History:Indie
37821,Killers,5.800000,2010,Action:Comedy:Thriller:Romance
38810,Dogtooth,7.400000,2009,Drama
114478,Starship Troopers : Invasion,6.300000,2012,Action:Animation:Science Fiction:Thriller
12160,Wyatt Earp,6.600000,1994,Action:Drama:Western
13813,Defiance,6.700000,2008,Drama
8292,Four Brothers,6.500000,2005,Action:Crime:Drama:Thriller
11656,The Virgin Spring,8.600000,1960,Crime:Drama
103332,Ruby Sparks,6.900000,2012,Comedy:Drama:Fantasy:Romance
8923,Green Street Hooligans,6.800000,2005,Crime:Drama:Sport
15371,Lupin the Third: The Castle of Cagliostro,7.500000,1979,Adventure:Animation:Comedy
13121,Teeth,6.000000,2007,Comedy:Horror
574,The Man Who Knew Too Much,7.000000,1956,Adventure:Crime:Drama:Mystery:Suspense:Thriller
37645,22 Bullets,6.500000,2010,Action:Crime:Thriller
9953,A Love Song for Bobby Long,6.200000,2004,Drama
2636,The Specialist,5.700000,1994,Action:Thriller
